,issuerid,EMITENT_FULL_NAME,combined
0,1,"Акционерный коммерческий банк ""Держава"" публичное акционерное общество","['Держава', 'DERZP', 'Державы', 'DERZHAVA', 'DERZ']"
1,2,"""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"" (публичное акционерное общество)","['МОСКОВСКИЙ КРЕДИТНЫЙ БАНК', 'CBOM RX', 'Московского кредитного банка', 'мкб', 'Credit Bank of Moscow', 'Credit Bank']"
2,3,"""Российский акционерный коммерческий дорожный банк"" (публичное акционерное общество)","['Российский акционерный коммерческий дорожный банк', 'RDRB', 'Российский акционерный коммерческий дорожный банк', 'РДБанк', 'Дорожный банк', 'Russian public joint-stock commercial roads Bank', 'RosDorBank', 'РосДорБанк', 'roads Bank']"
3,4,"Акционерная компания ""АЛРОСА"" (публичное акционерное общество)","['АЛРОСА', 'ALRS RX', 'алросы', 'alrosa']"
4,5,"Акционерный Коммерческий банк ""АВАНГАРД"" - публичное акционерное общество","['АВАНГАРД', 'AVAN', 'Авангарда', 'AVANGARD']"
5,6,"акционерный коммерческий банк ""Приморье""  (публичное акционерное общество)","['Приморье', 'Приморья', 'PRMB', 'АКБ Приморье', 'АКБ ""Приморье""', 'банк ""Приморье""', 'банк Приморье', 'primbank', 'PJSCB ""Primorye""', 'PJSCB Primorye', 'public joint-stock commercial bank ""Primorye""', 'bank ""Primorye""', 'bank Primorye']"
6,7,Банк ВТБ (публичное акционерное общество),"['Банк ВТБ', 'VTBR RX', 'ВТБ', 'VTB']"
7,8,Иркутское публичное акционерное общество энергетики и электрификации,"['Иркутское публичное акционерное общество энергетики и электрификации', 'IRGZ', 'Иркутскэнерго', 'ИркЭнерго', 'Irkutskenergo']"
8,9,"Казанское публичное акционерное общество ""Органический синтез""","['Органический синтез', 'KZOS', 'Органического синтеза', 'Казаньоргсинтез', 'kazanorgsintez']"
9,10,"Ленское золотодобывающее публичное акционерное общество ""Лензолото""","['Лензолото', 'LNZL', 'Лензолота', 'Lenzoloto']"
10,11,"Международная компания публичное акционерное общество ""Объединённая Компания ""РУСАЛ""","['РУСАЛ', 'RUAL RX', 'Объединённая компания ""Русал""', 'русала', 'rusal']"
11,12,"Международная компания публичное акционерное общество ""ЭН+ ГРУП""","['ЭН+ ГРУП', 'ENPG RX', 'ENPL', 'эн+ груп', 'En+ Group', 'EN+ Group Plc']"
12,13,"Открытое акционерное общество ""Белон""","['Белон', 'BLNG', 'Белона', 'belon']"
13,14,"Открытое акционерное общество ""Донской завод радиодеталей""","['Донской завод радиодеталей', 'DZRD', 'Донского завода радиодеталей', 'ДЗРД']"
14,15,"Открытое акционерное общество ""Левенгук""","['Левенгук', 'LVHK', 'Левенгука', 'levenhuk']"
15,16,"Открытое акционерное общество ""Липецкая энергосбытовая компания""","['Липецкая энергосбытовая компания', 'LPSB', 'LPSBG', 'Липецкая энергосбытовая компания', 'Липецкая ЭСК', 'ЛЭСК', 'lesk']"
16,17,"Открытое акционерное общество ""Межрегиональная распределительная сетевая компания Урала""","['Межрегиональная распределительная сетевая компания Урала', 'MRKU', 'Межрегиональная распределительная сетевая компания Урала', 'МРСК Урала', 'Россети Урал', 'rosseti ural']"
17,18,"Открытое акционерное общество ""Мультисистема""","['Мультисистема', 'MSST', 'Мультисистемы', 'multisistema']"
18,19,"Открытое акционерное общество ""Научно-производственное объединение ""Физика""","['Научно-производственное объединение ""Физика""', 'NPOF', 'Научно-производственное объединение ""Физика""', 'НПО ""Физика""', 'НПО Физика', 'npofizika']"
19,20,"Открытое акционерное общество ""Соликамский магниевый завод""","['Соликамский магниевый завод', 'MGNZ', 'MGNZG', 'Соликамского магниевого завода', 'ОАО ""СМЗ""', 'ОАО СМЗ']"
20,21,"Публичное  акционерное общество ""Русская Аквакультура""","['Русская Аквакультура', 'AQUA', 'Инаркт1Р1', 'Инарктика', 'Инарктики', 'Русская Аквакультура', 'inarctica', 'Русское море']"
21,22,"Публичное акционерное общество ""Абрау – Дюрсо""","['Абрау – Дюрсо', 'ABRD', 'Абрау – Дюрсо', 'abraudurso', 'Абрау Дюрсо', 'Абрау']"
22,23,"Публичное акционерное общество ""Авиакомпания ""ЮТэйр""","['ЮТэйр', 'UTAR', 'ЮТэйра']"
